Fecha Reporte;Hora Reporte;Tipo;Departamento;Municipio;Lugar;Latitud;Longitud;Hectáreas
20/01/2022;20:30:00;Forestal;Totonicapan;Totonicapan;Cantón Poxlajuj;14.91166667;-91.37583333;4
21/01/2022;07:50:00;No Forestal;El Progreso;Morazan;Km 120 CA-14 Aldea San Clemente, ;14.96611111;-90.17527778;2.5
21/01/2022;11:00:00;No Forestal;Huehuetenango;Huehuetenango;Zona 9 ;15.0175;-91.16277778;0.5
21/01/2022;11:30:00;No Forestal;Quiche;Santa Cruz Del Quiche;Cantón la comunidad, casco urbano;15.32361111;-91.49527778;5
21/01/2022;11:30:00;No Forestal;Quiche;Santa Cruz Del Quiche;Colonia Los Celajes;15.0175;-91.15416667;1
22/01/2022;14:00:00;No Forestal;Guatemala;Petapa;Colonia el Paraíso Zona 5 de Villa Hermosa;14.57361111;-90.94333333;3
22/01/2022;14:30:00;No Forestal;Guatemala;Villa Nueva;43 calle y 11 avenida colonia Prados de Monte Maria zona 12 ;14.51611111;-90.565;1
22/01/2022;16:30:00;Forestal;Quetzaltenango;Quetzaltenango;Cerro Candelaria;14.78916667;-91.51888889;0.5
22/01/2022;10:00:00;Forestal;Quetzaltenango;Zunil;Aldea Chacap;14.23888889;-91.48777778;5
23/01/2022;11:45:00;Forestal;Jutiapa;Atescatempa;Volcán Las Víboras;14.91194444;-91.36861111;24.5
23/01/2022;20:00:00;Forestal;Totonicapan;Totonicapan;Tercera calle final, zona 2 Parque Infantil;14.21944444;-89.71027778;1
24/01/2022;13:13:00;No Forestal;Baja Verapaz;Salama;Colonia Valle Del Sol ;15.08666667;-90.30416667;4
24/01/2022;12:50:00;No Forestal;Baja Verapaz;Salama;Terrenos Cercanos a Colonia Valle Dorado Área peri urbana de Salama BV;15.08666667;-90.30416667;4
25/01/2022;23:30:00;Forestal;Suchitepequez;Mazatenango;Ciudad Nueva;14.535;-91.48638889;1
26/01/2022;17:45:00;Forestal;Quiche;Chichicastenango;Pocohil Primero;14.92666667;-91.1175;0.5
27/01/2022;08:47:00;No Forestal;Guatemala;Guatemala;Columpio de Vista Hermosa zona 15;14.60666667;-90.50194444;0.02
27/01/2022;12:30:00;Forestal;Quiche;Santa Cruz Del Quiche;Aldea Xatinap 5ta;14.99583333;-91.13972222;10
27/01/2022;16:00:00;Forestal;Quiche;Santa Cruz Del Quiche;Aldea Pamesebal;15.04694444;-91.15583333;1
28/01/2022;16:00:00;Forestal;Baja Verapaz;San Jeronimo;Aldea La Rinconada;15.31305556;-91.47611111;4
28/01/2022;14:00:00;No Forestal;Huehuetenango;Huehuetenango;EORM Tipo Federacion zona 5 de Huehuetenango;15.26111111;-91.41805556;0.5
28/01/2022;11:30:00;Forestal;Huehuetenango;Huehuetenango;Aldea Chiquiliabaj;14.55305556;-89.93583333;2
28/01/2022;20:30:00;Forestal;Huehuetenango;Huehuetenango;Cambote zona 11 ;15.11722222;-89.50055556;0.5
28/01/2022;16:00:00;Forestal;Jalapa;Jalapa;Aldea Mal Paso;15.3;-91.49555556;1
28/01/2022;12:00:00;No Forestal;Quiche;Sacapulas;Caserío Cuesta del Águila;15.05138889;-90.21722222;1
28/01/2022;15:15:00;Forestal;Zacapa;Rio Hondo;Aldea Jones;15.31472222;-91.18083333;5
30/01/2022;12:00:00;No Forestal;Guatemala;Villa Nueva;Frente a fabrica Zamboro ruta Marianita zona 5 de Villa Nueva ;14.51472222;-90.10333333;2
30/01/2022;11:00:00;No Forestal;Quiche;Santa Cruz Del Quiche;Aldea Chicorral;15.04083333;-91.17694444;0.5
30/01/2022;12:00:00;No Forestal;Santa Rosa;Taxisco;Santa Matilde, aldea El Panal;14.88194444;-90.9825;5
31/01/2022;16:00:00;Forestal;Huehuetenango;Huehuetenango;Aldea Zunul;15.04611111;-91.1225;0.5
31/01/2022;19:19:00;Forestal;Jalapa;Jalapa;Aldea El Divisadero;15.00027778;-91.14861111;15
31/01/2022;15:00:00;Forestal;Quiche;Santa Cruz Del Quiche;Aldea Choacaman I;14.63722222;-90.02888889;4
31/01/2022;09:00:00;Forestal;Quiche;Santa Cruz Del Quiche;Aldea Xatinap 5to;15.27444444;-91.44888889;14
31/01/2022;14:30:00;Forestal;Zacapa;Rio Hondo;Aldea Monte Verde;15.02555556;-88.70527778;22
1/02/2022;15:00:00;Forestal;Baja Verapaz;Salama;Comunidad Quilila Finca Santa Rosa;15.3025;-91.19861111;9
1/02/2022;16:00:00;Forestal;Huehuetenango;Aguacatan;Aldea Cuesta del Águila;15.22166667;-90.29388889;40
2/02/2022;09:45:00;No Forestal;Guatemala;Guatemala;11 avenida Sur Final, 56-00, Colegio El Roble, zona 11 ;15.11916667;-88.53666667;3.9
2/02/2022;10:00:00;Forestal;Guatemala;San Pedro Ayampuc;Km 14 Carretera a el Carrizal San Pedro Ayampuc.;14.58277778;-90.57361111;26
2/02/2022;12:00:00;Forestal;Jutiapa;Asuncion Mita;San Juan Las Minas;14.99805556;-89.36555556;0.5
2/02/2022;13:00:00;Forestal;Peten;San Andres;Los Pescaditos;14.72861111;-90.43166667;8
2/02/2022;20:00:00;Forestal;Zacapa;Rio Hondo;Aldea Jones;14.3325;-89.72972222;10
2/02/2022;18:30:00;Forestal;Zacapa;Zacapa;Aldea Los limones;17.36944444;-89.985;50
3/02/2022;22:50:00;No Forestal;Huehuetenango;Huehuetenango;EORM Tipo Federación, Zona 5   ;15.31611111;-91.48305556;0.3
4/02/2022;07:00:00;Forestal;Guatemala;Petapa;Parque Municipal Regional La Cerra;14.74722222;-91.17333333;6
4/02/2022;19:29:00;No Forestal;Guatemala;Villa Canales;Terreno en Comunidad los Llanos;14.64055556;-90.01083333;6
4/02/2022;14:30:00;No Forestal;Guatemala;Villa Nueva;Boulevard Reformadores a un costado de Intecap zona 4 ;14.50583333;-90.58833333;1
4/02/2022;09:00:00;No Forestal;Jalapa;Jalapa;Aldea El Divisadero;15.35777778;-90.88777778;3
4/02/2022;12:00:00;Forestal;Quiche;Uspantan;Aldea Sochojil;14.48055556;-90.53861111;65.5
4/02/2022;09:00:00;Forestal;Solola;Solola;Aldea San Jorge La Laguna;14.36388889;-90.56583333;4.5
5/02/2022;12:15:00;Forestal;Baja Verapaz;Salama;Aldea  Lagunillas ;14.95472222;-90.24805556;2
6/02/2022;17:00:00;Forestal;Guatemala;Amatitlan;Cerro Patio Bolas,Aldea Pedregal Agua de La Mina;15.33694444;-91.47388889;20
6/02/2022;17:00:00;Forestal;Huehuetenango;Huehuetenango;Terrero Alto zona 4;14.47055556;-90.65166667;1
6/02/2022;14:00:00;No Forestal;Santa Rosa;Taxisco;La Arrocera, Aldea La Avellana;14.07222222;-90.48641389;20
7/02/2022;15:25:00;No Forestal;Guatemala;San Pedro Ayampuc;Colonia Rio Azul;14.58027778;-89.94611111;2
7/02/2022;17:52:00;Forestal;Jalapa;Jalapa;Aldea Salfate;14.33222222;-89.73916667;5
7/02/2022;07:50:00;Forestal;Jutiapa;Asuncion Mita;Aldea San Juan Las Minas;14.72222222;-90.4425;9
7/02/2022;14:20:00;Forestal;Solola;Santa Lucia Utatlan;Parque Ecológico Corazón del Bosque, Aldea el Novillero;14.78916667;-91.26472222;1.5
8/02/2022;11:30:00;No Forestal;Guatemala;Guatemala;Km. 14 ruta al atlantico CA-9;15.31027778;-91.49444444;3
8/02/2022;10:30:00;Forestal;Guatemala;Palencia;Km 23.5 Ruta al Atlantico;14.30082778;-89.87801944;3
8/02/2022;18:50:00;No Forestal;Huehuetenango;Huehuetenango;Cambote Zona 11 ;14.67611111;-90.41555556;0.5
8/02/2022;15:00:00;No Forestal;Jutiapa;Jutiapa;Volcán Culma;14.7225;-90.36166667;0.5
9/02/2022;14:50:00;Forestal;Jalapa;Jalapa;Aldea Mal Paso;14.55416667;-89.93638889;1
9/02/2022;18:00:00;Forestal;Jutiapa;Quesada;Aldea La Pava;14.27444444;-89.98055556;15
10/02/2022;10:40:00;No Forestal;Guatemala;San Pedro Ayampuc;Los Llanos;14.73555556;-90.45138889;16
10/02/2022;17:00:00;No Forestal;Guatemala;Villa Nueva;Colina Amanecer;15.09805556;-91.16472222;8
10/02/2022;14:30:00;Forestal;Quiche;San Pedro Jocopilas;Aldea Xocopilá;14.88208333;-90.96875;1.5
11/02/2022;20:00:00;Forestal;Chiquimula;San Jose La Arada;Km 189 Caserío Plan de Las Vigas Aldea El Rincón;15.03416667;-90.88222222;4
11/02/2022;11:30:00;No Forestal;El Progreso;San Agustin Acasaguastlan;Aldea El Rancho;14.91527778;-90.00694444;1.5
11/02/2022;13:50:00;No Forestal;Guatemala;Guatemala;7a. Avenida final y 28 calle  San Gaspar 2 zona 16 Guatemala;14.96844167;-90.88410556;2
11/02/2022;11:50:00;No Forestal;Guatemala;San Pedro Ayampuc;Km. 17 sobre la ruta principal Villas de San Pedro Ayampuc ;14.70361111;-89.62583333;1
11/02/2022;11:30:00;No Forestal;Guatemala;San Pedro Ayampuc;Montaña en colonia Lomas de San Pedro Ayampuc ;14.74583333;-90.44472222;45
11/02/2022;16:30:00;No Forestal;Guatemala;San Pedro Ayampuc;Extremo de buses Villas de San Pedro Ayampuc;14.98527778;-90.75772222;3
11/02/2022;09:00:00;No Forestal;Guatemala;Villa Nueva;Colina Amanecer ingreso por Valles de María zona 2;14.55166667;-90.58555556;6
11/02/2022;13:20:00;Forestal;Quiche;Zacualpa;Aldea Trapichitos I;14.74583333;-90.44472222;0.5
11/02/2022;17:00:00;No Forestal;San Marcos;Ayutla;A un costado de Aduana Tecun Uman ll Ayutla San Marcos;14.70555556;-92.12861111;0.45
12/02/2022;19:40:00;No Forestal;El Progreso;Morazan;Kilómetro102, CA-14, Aldea Gallegos;14.91388889;-89.79416667;1.5
12/02/2022;15:18:00;Forestal;Jutiapa;Atescatempa;Volcán Las Víboras;15.02194444;-91.04722222;13
12/02/2022;11:25:00;Forestal;Quiche;Chiche;Aldea Loma Alta;14.90722222;-90.15666667;4
12/02/2022;12:00:00;Forestal;Zacapa;Cabañas;Km 158 Ruta a San Diego Cabañas;14.19981944;-89.71345833;10
13/02/2022;14:30:00;Forestal;Quiche;San Pedro Jocopilas;Aldea Los Cipresales;14.77361111;-91.14416667;2
13/02/2022;10:30:00;No Forestal;Santa Rosa;Barberena;Finca Cerro Redondo;15.10055556;-91.16388889;2.4
13/02/2022;12:00:00;Forestal;Solola;Concepcion;Caserío la Cumbre;14.37277778;-90.40555556;0.5
14/02/2022;07:25:00;No Forestal;Guatemala;Guatemala;11 avenida Sur Final y 40 calle zona 11;14.58277778;-90.57222222;10
14/02/2022;13:00:00;No Forestal;Quiche;Santa Cruz Del Quiche;Zona 5;15.02694444;-91.14222222;1
15/02/2022;15:00:00;Forestal;Guatemala;Amatitlan;Km 31 Ruta al Pacifico;14.73444444;-90.40722222;5.7
15/02/2022;12:00:00;No Forestal;Guatemala;Guatemala;Km 13 ruta al Atlántico;15.02222222;-91.16361111;0.05
15/02/2022;08:15:00;Forestal;Guatemala;San Pedro Ayampuc;Entre Fincas Los Mixcales, El Tizate,San Carlos y La Estanzuela;14.66666667;-90.41888889;14
15/02/2022;10:00:00;No Forestal;Jalapa;Jalapa;Barrio Llano Grande;14.46361111;-90.65333333;0.5
15/02/2022;15:00:00;No Forestal;Quiche;Santa Cruz Del Quiche;Ruinas de Gumarkaaj;14.96583333;-91.36555556;1
15/02/2022;16:00:00;Forestal;Solola;San Jose Chacaya;Finca El Molino;14.60833333;-89.97238889;1
16/02/2022;09:05:00;Forestal;Chimaltenango;Santa Cruz Balanyá;El Potrero;14.82805556;-91.49861111;4.5
16/02/2022;13:45:00;Forestal;Quetzaltenango;Quetzaltenango;Cerro Baúl;14.69388889;-90.90805556;0.5
17/02/2022;15:45:00;No Forestal;Guatemala;Villa Nueva;Final Terranova, cuenca Villa Lobos;15.29277778;-91.40027778;6
17/02/2022;11:45:00;Forestal;Huehuetenango;Huehuetenango;Aldea Pox;14.66908333;-90.06291667;11
17/02/2022;15:00:00;Forestal;Jalapa;Jalapa;Caserío Tierra Blanca;15.92233333;-91.34825;5
17/02/2022;08:00:00;Forestal;Quiche;Zacualpa;Aldea Trapichitos I;14.99972222;-90.80166667;2.5
17/02/2022;08:00:00;Forestal;Sacatepequez;Sumpango;Colonia Valle Verde Kilometro 47.5;15.04777778;-90.87444444;5.5
17/02/2022;16:00:00;No Forestal;Suchitepequez;San Jose La Maquina;Línea A 5 sector Sis;14.34527778;-91.56638889;8
17/02/2022;13:00:00;Forestal;Totonicapan;Totonicapan;Paraje Pubiequeb, zona 1;14.89388889;-90.95055556;1
18/02/2022;10:00:00;No Forestal;Baja Verapaz;Salama;Cerro de la Santa Cruz;14.51638889;-90.73861111;2
18/02/2022;10:05:00;Forestal;Guatemala;Amatitlan;Naciones Unidas;15.09111111;-90.31888889;8
18/02/2022;11:00:00;Forestal;Guatemala;Guatemala;11 avenida Sur Final y 40 calle zona 11;15.06583333;-91.11805556;5
18/02/2022;07:00:00;Forestal;Guatemala;Guatemala;6a. Ave y 11 calle Kanajuyu I zona 16;14.94055556;-91.62972222;2
18/02/2022;17:50:00;No Forestal;Guatemala;Villa Nueva;Parcelamiento de Villa Nueva a un costado del Parque Naciones Unidas;14.58287222;-90.57246111;2
18/02/2022;12:20:00;Forestal;Huehuetenango;Huehuetenango;Aldea Chinaca;14.97111111;-91.10805556;1
18/02/2022;08:16:00;No Forestal;Jalapa;Jalapa;Aldea El Divisadero;14.10416667;-91.63194444;0.5
18/02/2022;15:00:00;Forestal;Jalapa;San Manuel Chaparron;Aldea El Pedernal;15.29833333;-91.41;100
18/02/2022;09:08:00;Forestal;Quetzaltenango;Cajola;Cantón Xecol;14.4975;-90.61611111;5
18/02/2022;19:05:00;Forestal;Quiche;Chichicastenango;Cantón Sepela;14.62444444;-90.47611111;0.5
18/02/2022;12:10:00;Forestal;Quiche;Santa Cruz Del Quiche;Aldea Xesic;14.64333333;-90.03638889;5
18/02/2022;12:00:00;No Forestal;Sacatepequez;Antigua Guatemala;San Juan del Obispo;14.49305556;-90.60083333;1
18/02/2022;15:30:00;No Forestal;Sacatepequez;Antigua Guatemala;San Pedro las Huertas;14.54730556;-89.80511111;1
18/02/2022;09:20:00;Forestal;Suchitepequez;Mazatenango;Aldea Tahuexco;14.85166667;-90.12722222;0.25
19/02/2022;20:09:00;Forestal;Guatemala;Palencia;Km 23 ruta al Atlántico ingreso a Palencia;13.90666667;-90.42583333;7
